followeeName,Final_Content_Similarity,Final_User_Affinity,User-Followee_Behaviour
AdamMGrant,0.6640196918366229,0.3297483172373427,CC
amandajanerosso,1.0,0.020407765096088187,CC
amyjccuddy,0.6102993045069618,0.045717490976490104,CC
AnitaBorg_India,0.42643130996752726,0.15236562286606184,NN
anrah,0.488158156247905,0.015432640717978735,NN
ariannahuff,0.5823830007933143,0.020407765096088187,CC
BeLeaderly,0.6199358480761881,0.08711345234611258,CC
bikramnehra,0.47089379316907093,0.07513413325529217,NN
clouddelhi,0.4587305055318881,0.44468832309043016,NN
GeethaKan,0.4860688251135218,0.035767242220271195,NN
girlsleadership,0.6299493560857502,0.015432640717978735,CC
girlslikemeinc,0.45106757363339667,0.025309725880401913,NN
googleanalytics,0.39538962930030874,0.015432640717978735,NN
irfanBshah,0.3501532243624288,0.17507072480733588,NN
jigyasa_grover,0.6590027205086907,0.07520241927616818,CC
KMac800,0.7039166755257618,0.015432640717978735,CC
LeanInCanada,0.5046876414861097,0.04066920300458492,CC
leaninigdtuw,0.5237110976202152,1.0,BO
LeanInIndia,0.7259096458889007,0.12142717783630867,CC
LeanInOrg,0.7188017894389286,0.6140083894254219,BO
lean_in_dc,0.7023864053807894,0.02033460150229246,CC
madhukishwar,0.5825925529025483,0.015432640717978735,CC
MAKERSwomen,0.21315710875062258,0.03086528143595747,NN
melrobbins,0.7424418110957616,0.16561798848892792,CC
metalwihen,0.4628708848952421,0.09604916593503073,NN
nualafmurphy,0.32962324476952265,0.03504048385523364,NN
POTUS,0.6331931340832304,0.015432640717978735,CC
priya_bansal_19,0.7371820027760398,0.020407765096088187,CC
Prooffix,0.46717643183787455,0.025309725880401913,NN
SlideShare,0.5253484354698351,0.025309725880401913,CC
TelleWhitney,0.35432997002940775,0.02033460150229246,NN
tricksy0207,0.6272229398709541,0.035767242220271195,CC
UN_Women,0.5168153810021622,0.015432640717978735,CC
womensleadershp,0.6434865109881648,0.015432640717978735,CC
WomenTechmakers,0.6272321221911722,0.015432640717978735,CC
WomenWhoCode,0.7478581292471785,0.06547166130133646,CC
WTM_Delhi,0.8583828483514653,0.015432640717978735,CC
WWCode_Delhi,0.6648043328344918,0.03021168666471564,CC
adityaom1993,0.09486570069366866,0.01982733391864208,NN
amo_ag13,0.3506066982139902,0.004975124378109453,NN
aprasahney,0.15126333670197228,0.17953858160179495,NN
apurvachawla1,0.4847431441775076,0.009877085162423178,NN
Ec08Karan,0.3680266537064244,0.04477611940298507,NN
EvrydayFeminism,0.3546770047129651,0.019754170324846356,NN
facebook,0.4155675872678175,0.004975124378109453,NN
FastCompany,0.4166802509126725,0.01485220954053263,NN
girldevelopit,0.4249301165842231,0.004975124378109453,NN
gvaibhavraj2,0.05847961188450757,0.01982733391864208,NN
