fav
keep promis ted talk week
power pose

when time take question I rais hand even though I shiver nervous In



dear dad Im go To Be call A whore her power video Is now move million
next time reach phone rememb induc slouch slouch chang mood

you know harder woman be work woman and top woman

right woman fight justic equal that special revolut woman
banbossi
how mani heard parents/rel give advic dont worri alon D D
Ms ranbeer rathi independ woman mother success entrepreneur watch reveal journey
akshita mahajan vidhi jindal nidhi mann aishwarya gupta shivangi shori bhavya aditya sharma shweta ashok bhavna
sakshi dhingra anchala bansal amishapriya singh srijana singh vanshika vat ruchika kundu stuti kalra harleen
richu avisha singh gargi jain jhilmil anurag muskan jain zulfitaha ahm akshama vaibhavi sharma shreya akanksha
divya dhankhar kirti sinha neha jain pragya agarw aakanksha smriti palak jain surabhi sonkar disha shreya gupta
srishti singh anisha ishani gambhir sudesh raunak jain megha vidhi thakur surbhi bajaj prachi choudhari manisha
harshita bhardwaj arushi butan ridhi sood saloni jain rricha jalota pragya agarw manika palak chadha kanika
anushka rathi ira pandey apoorva mittal bharti bhushan monika gupta malobika roy baane tyagi kanika pasricha
jyotsna panwar aishwarya gupta akshaya srivastava kritika upadhyay diksha singh sagarika pooja goel megha bagri
jhilmil anurag anushka rathi rachayita giri palak chadha srishti dua nikita singh nikita singh heena gupta kanika
deeksha anand shivangi gupta shivangi gupta vaibhavi sharma muskan jain ankita sharma avani khurana aditi
aakriti thakur aparna nayyar praksha ishu tomar reetika anand gargi jain gargi jain ritaja ritaja astha bhargava
ayushi jain aditi singh pooja vashishta sonalika sahoo shruti bhatia nimisha sehgal prekshi gupta aayushi garg
prapti alok kavya goyal kriteesha jain surbhi vya aditi aashi goyal megha negi divanshi jain diksha ranjan
kanika dhir deepa kumari aakriti kanyal edeepti rao anamika katyal nivedita kumari aishwarya gupta disha verma
salut ranbeer maam
diksha vasudev aditi agarw sanchi saroha shalini mandal akshita mahajan astha srivastava somyaa aggarw aditya
mitanshi rastogi ananya daba navya singh anushka singh ruchika P awal shreya gupta aditi surbhi drishti saxena
kanika taneja shagun kathuria somyaa aggarw kirtika yadav prachi kumar palak jain saloni singh reetika anand
shivangi sonal tanya saini varsha singh arathi nair kritika upadhyay ishani gambhir sadaf anjum srishti geeta
ankita sharma drishti agraw monika kumari meenal bhati tanu mehrotra apra sharma megha goyal shuchi wamika
leaningin

lean igdtuw curtain raiser event august inspir woman becom ambiti entrepreneur
creat resum yell hire ME
We instagram follow u
half problem solv awar start acknowledg issu regard woman
everi day I want get comfort uncomfort saini technic head
get comfort zone lean chang almost everi moment slowli
rescu girl failur make lose motiv even boy
lean In igdtuw orient success conduct here glimps
leader the council orient day
for like facebook honor
for peopl think girl sissi check vicepresid mechan engin fourth year htt…
stage gave shiver look stand
how littl thing make differ
I love code I great I becom better everyday
the year long plan explain
the plan action explain like bos
peopl think cant rise odd prove wrong exampl
I learnt lean continu process you constantli remind sit tabl
I part revolut cheer girl amp woman want sit tabl that I lean IN htt…
leader No shivangi adlakha pursu master comput applic
sit tabl I learnt lean continu process
leader No rachayita giri pursu bachelor technolog inform technolog
leader No palak chadha pursu bachelor technolog comput scienc
leader No jhilmil anurag pursu bachelor technolog electron commun
leader No diksha singh pursu bachelor technolog electron commun
leader No pooja goel pursu bachelor technolog electron commun
leader No sagarika nangia pursu bachelor technolog electron commun
leader No megha bagri pursu bachelor technolog inform technolog
the result recruit drive held month We welcom new circl member
jishnu gandhi work googl inc amp hold hon srcc leanintogeth
