fav
U choos introspect n realign life everyon uniqu n design futur want live…
never afraid break invis boundari set societi never stop learning
repost On averag woman paid le men worldwid here look g…
whi mom make best entrepreneurst talk leaningin
thing succeed first day internship
former twitter ceo reveal trait need get hire top compani
dure commenc speech oprah reveal sheryl sandberg have common via
life lesson past generation An ode unsung woman trail blaze n inspir gener
bring woman career break tabl industri mentor via
creat purpos othersfacebook founder mark zuckerberg commenc address harvard commenc via
A true wanderlust27yearold woman To becom first femal ever To visit everi countri On earth via
get readi FB live lean In moder train session presid for detailscheck
