mention
rememb one make feel inferior without consent eleanor roosevelt thank share
I tell go easi I tell go worth
today wcw goe fearless leader coo leadership quoteoftheday
one day decis give inspir everi person come contact keep go

note self dont worri suppos happen
get comfort zone lean chang almost everi moment slowli
the difficult thing decis act the rest mere tenac
