followeeName,Final_Content_Similarity,Final_User_Affinity,User-Followee_Behaviour
acmDIS,0.7605203745213547,0.020530469203035574,CC
AcmIgdtuw,0.7985017370164795,0.13608652900688298,CC
ACMIUI,0.7659814446183754,0.009603408718452966,CC
ACM_FCA,0.6569972433822241,0.019960668633235003,CC
amit_p,0.7423908673598977,0.006653556211078336,CC
AndrewYNg,0.5051754142855616,0.009603408718452966,CC
AnnCavoukian,0.8055105419653384,0.026614224844313344,CC
anupamaa12,0.6644111834143213,0.035731033961122455,CC
ashish_sureka,0.6393421714087804,0.013307112422156672,CC
barabasi,0.6861566945540458,0.009603408718452966,CC
bgoncalves,0.6066201974652293,0.19590298262864636,CC
ChaToX,0.7352835025035009,0.033267781055391674,CC
chhavi_dua,0.831724672524951,0.017580616695660942,CC
Chinmayananda,0.7354544601053064,0.006653556211078336,CC
chris_bail,0.8344155799025103,0.006653556211078336,CC
cis_india,0.7454049036521561,0.006653556211078336,CC
clauwa,0.7721507911445868,0.013307112422156672,CC
contactkakkar,0.8918578433840432,0.013876912991957238,CC
CSCegov_,0.48262608095361625,0.006653556211078336,NN
DanielMRomero,0.389946683468031,0.006653556211078336,NN
DanielSolove,0.6795314594035688,0.006653556211078336,CC
DataScience_PhD,0.5694359823891967,0.022910521140609635,CC
devvarma,0.8577620659468286,0.04401079091344578,CC
DheerajSanghi,0.8569192559032075,0.012553261225827598,CC
DinoPedreschi,0.7257176729319037,0.022156669944280564,CC
drajaykumar_ias,0.8064123530431824,0.033267781055391674,CC
DSCI_Connect,0.6409871864692525,0.03690593248115372,CC
emilianoucl,0.7250750033916451,0.006653556211078336,CC
eredmil1,0.7906676789839168,0.013307112422156672,CC
euro_css,0.7028826330803979,0.013307112422156672,CC
futureofprivacy,0.6628939206399771,0.006653556211078336,CC
gboeing,0.6404607278622264,0.006653556211078336,CC
GDanezis,0.6832130833738955,0.006653556211078336,CC
gianluca_string,0.5610375492021394,0.033267781055391674,CC
godvinayak,0.9247305119612855,0.010927060484582607,CC
goodfellow_ian,0.6247006099056269,0.026614224844313344,CC
himani_sharma9,0.43951618719483193,0.010927060484582607,NN
HRDMinistry,0.7019610197314399,0.022910521140609635,CC
IC2S2,0.6976677870319186,0.04657489347754834,CC
icwsm,0.7257643177769855,0.0162569649295313,CC
IEEEDSAA,0.839517054235806,0.006653556211078336,CC
IIITDelhi,0.7840946643485488,0.08172352066157376,CC
JaneYakowitz,0.8041966566329692,0.010927060484582607,CC
jeffbigham,0.6001838843140858,0.013307112422156672,CC
jengolbeck,0.6752193805276929,0.01845296624057686,CC
jure,0.6699391302057712,0.013307112422156672,CC
KalamCenter,0.5986880664085731,0.033083730428863166,CC
kdnuggets,0.4555335520942406,0.022910521140609635,NN
knoesis,0.6370524948421882,0.006653556211078336,CC
KristinaLerman,0.6766579912776363,0.013307112422156672,CC
ksd24497,0.8235499954674776,0.021854120969165215,CC
lajello,0.8986751704555851,0.013307112422156672,CC
LtGovDelhi,0.8105841582560263,0.010927060484582607,CC
MaxCRoser,0.6986982280739361,0.009603408718452966,CC
miriam_fs,0.7098217572470747,0.010927060484582607,CC
msalganik,0.694706152296599,0.009603408718452966,CC
MSFTResearch,0.7116773778161731,0.036217633562766305,CC
mygovindia,0.9226358367698908,0.006653556211078336,CC
narendramodi,0.9176303025304435,0.06749111262385599,CC
ndiakopoulos,0.6191079187160755,0.05322844968862669,CC
niharikasachdev,0.6303294803309797,0.028810226155358897,CC
niituniversity,0.7533426560961902,0.006653556211078336,CC
nikitab,0.6714858567067752,0.006653556211078336,CC
PET_Symposium,0.5834638622965989,0.0162569649295313,CC
PMOIndia,0.6819248643187267,0.024803973476539853,CC
ponguru,0.6519513429398685,1.0,BO
prateekdewan,0.8412414739769396,0.07691047071578044,CC
PrivacyMatters,1.0,0.05084839775105262,CC
ProfFeynman,0.7928564912878581,0.06177545823563523,CC
proffnes,0.7607046779654523,0.006653556211078336,CC
rachayita_giri,0.8131925036455414,0.0460882938759045,CC
RachitUppal,0.6055002539936266,0.029077477750044125,CC
random_walker,0.7721788453320064,0.04287118977384464,CC
rmsherman,0.8357604373555064,0.013876912991957238,CC
rohan_iitj,0.6401984994288118,0.037624486297052666,CC
Ronald_vanLoon,0.5046490719195657,0.13972468043264505,CC
SagarJoglekar,0.6706610805019735,0.013307112422156672,CC
saravade,0.6289668461151453,0.028056374959029826,CC
sigchi,0.6011340916213135,0.009603408718452966,CC
singh_prakash,0.7349940889378516,0.018150417265461512,CC
smittal_ips,0.39136029890573437,0.006653556211078336,NN
socinformatics,0.6027096763551822,0.07055946347981747,CC
Srishti_Gupta14,0.7437965149291424,0.04295439074200136,CC
Straithe,0.747716115297203,0.013307112422156672,CC
UKAISconference,0.6153912065284929,0.006653556211078336,CC
USENIXSecurity,0.0,0.006653556211078336
VasuGhs,0.6261244489375206,0.09596349242366942,CC
YathShar,0.5605917447511017,0.006653556211078336,CC
_DigitalIndia,0.733026407475535,0.07357486826513375,CC
acm_ccs,0.5063499114846931,0.0029498525073746312,CC
acm_igdtuw,0.5644085691267319,0.02064896755162242,CC
caosoriot,0.5187595789185188,0.007223356780878904,CC
CERCatIIITD,0.5268391115783415,0.0058997050147492625,CC
GoI_MeitY,0.3527712513421579,0.009603408718452966,NN
Indiaacm,0.344815853873915,0.008849557522123894,NN
ingmarweber,0.5688998469778227,0.0029498525073746312,CC
Innerveigdtuw,0.5633070431695111,0.010173209288253536,CC
mmoberoi,0.5465824384896727,0.0058997050147492625,CC
