user,text,refined
ponguru,b'Had dinner with Prof. Martin Hellman @MartinHellman2 Professor Emeritus at Stanford University. He is one of the in\xe2\x80\xa6 https://t.co/vUC8QBDUa7',had dinner prof martin hellman professor emeritu stanford univers He one in…
ProfFeynman,"b""Nobody ever figures out what life is all about, and it doesn't matter. Explore the world. Nearly everything is real\xe2\x80\xa6 https://t.co/qWGRzI05v2""",nobodi ever figur life doesnt matter explor world nearli everyth real…
ksd24497,b'Also with this was a wrap up with  Winter Workshop on Data Science and Machine Learning organised by @AcmIgdtuw . H\xe2\x80\xa6 https://t.co/ohY9rykH5C',also wrap winter workshop data scienc machin learn organis H…
AcmIgdtuw,b'#D-Day #DataScience n #MachineLearning workshop at #igdtuw technically supported by @precog_iiitd cc/ @ponguru https://t.co/KXHXmVmpye',dday datasci n machinelearn workshop igdtuw technic support cc/
AcmIgdtuw,b'#D-Day session on research methods by @anupamaa12 from @precog_iiitd #DataScience #MachineLearning #Delhi https://t.co/mVMB5dWv6y',dday session research method datasci machinelearn delhi
AcmIgdtuw,b'#D-Day #DataScience and #MachineLearning workshop https://t.co/rLU8nzNPvY',dday datasci machinelearn workshop
AcmIgdtuw,b'#Day2 #DataScience &amp; #MachineLearning workshop #inmotion at IGDTUW #delhi https://t.co/f13fA9AUNP',day2 datasci amp machinelearn workshop inmot igdtuw delhi
AcmIgdtuw,b'#Day2 #DataScienceWorkshop session on data analysis by @rishabhk_ with hands on in Igdtuw #delhi https://t.co/EgY7qeK9GR',day2 datascienceworkshop session data analysi hand igdtuw delhi
ksd24497,b'Day 1 Winter Workshop on Data Science with Machine Learning by @AcmIgdtuw @rishabhk_ Sir.\n#100DaysOfCode https://t.co/zORWA72X7G',day winter workshop data scienc machin learn sir
AcmIgdtuw,"b'#Day1 #DataScience workshop at #IGDTUW #Delhi 30+ participants morning session~  ""introduction of Data Collection""\xe2\x80\xa6 https://t.co/y1Hj9yEZPR'",day1 datasci workshop igdtuw delhi particip morn session~ introduct data collection…
AcmIgdtuw,b'#Day1 Winter Workshop on data science &amp; Machine learning ~ Session on data collection from social media by Sonu Gup\xe2\x80\xa6 https://t.co/OZwvxFyKrE',day1 winter workshop data scienc amp machin learn session data collect social medium sonu gup…
Srishti_Gupta14,"b'Our paper ""Collective Classification of Spam Campaigners on Twitter: A Hierarchical Meta-Path Based Approach"" accep\xe2\x80\xa6 https://t.co/eLZfhWSQoS'",our paper collect classif spam campaign twitter A hierarch metapath base approach accep…
rohan_iitj,"b'Yesterday I had given a talk at the IMSc, Chennai about my PhD work, and interacted with Dr. Sitabhra Sinha and Dr.\xe2\x80\xa6 https://t.co/cGc1nSnweq'",yesterday I given talk imsc chennai phd work interact Dr sitabhra sinha dr…
ponguru,"b""Tune into Indira's Master's thesis  defense \xe2\x80\x9cInstafake: Detecting Fake Engagement on Instagram\xe2\x80\x9d https://t.co/VuqthQrSHj""",tune indira master thesi defens instafak detect fake engag instagram
ponguru,b'My #4 Ph.D. student defended his thesis today. Mr. @prateekdewan --&gt; Dr. @prateekdewan Thesis:\xe2\x80\xa6 https://t.co/aORxSlQ4jJ',My phd student defend thesi today Mr
anupamaa12,"b'. @prateekdewan defending his PhD titled ""Techniques for Automating Quality Assessment of Context-specific Content\xe2\x80\xa6 https://t.co/7hGgZBtNQw'",defend phd titl techniqu autom qualiti ass contextspecif content…
