user,text,refined
ponguru,b'Met @lorrietweet (my Ph.D. Thesis Advisor) after 7+ years in @CarnegieMellon campus today! #Nostalgic\xe2\x80\xa6 https://t.co/bgznIxD997',met phd thesi advisor year campu today nostalgic…
RachitUppal,b'Happy #GaneshChaturthi to all... \xe0\xa4\x97\xe0\xa4\xa3\xe0\xa4\xaa\xe0\xa4\xa4\xe0\xa4\xbf \xe0\xa4\xac\xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xaa\xe0\xa4\xbe \xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xb0\xe0\xa4\xaf\xe0\xa4\xbe... https://t.co/NyIYZldChC',happi ganeshchaturthi
ponguru,b'2 Ph.D. Awardees of @IIITDelhi #IIITDConvo5 @pari_lakshya @mohonag1 Congratulations!!! https://t.co/jZvuyguuna',phd awarde iiitdconvo5 congratul
ponguru,"b'Wonderful memories 1st Convocation @IIITDelhi Nov 3, 2012. https://t.co/XGm3ap7O5m #IIITDConvo5 #IIITDRocks https://t.co/QEcZjjqt8R'",wonder memori convoc nov iiitdconvo5 iiitdrock
prateekdewan,"b'Introducing Helix! Extract intelligent information out of images within seconds, in the click of a button! Demo: https://t.co/uUsXsa9gbo'",introduc helix extract intellig inform imag within second click button demo
ponguru,"b'7 years @IIITDelhi (Aug 3, 2014). Some highlights! #IIITDRocks #LovingMyFacultyLife https://t.co/ln5ohjtScN https://t.co/YDkBU28XGB'",year aug some highlight iiitdrock lovingmyfacultylif
timesofindia,b'Live updates | Hockey Champions Trophy - India vs Germany https://t.co/8kahibq2T9 https://t.co/BaHlnhfu5a',live updat hockey champion trophi india v germani
_dikshagarg,b'Tweeting using the API is fun. #tweepy #osm_igdtuw16',tweet use api fun tweepi osmigdtuw16
1d5c2727e35a4ed,b'Updating status using tweepy in python #osm_igdtuw16',updat statu use tweepi python osmigdtuw16
IIITDelhi,"b""Dr.@ponguru ,starting an online course \xe2\x80\x98Privacy &amp; Security in Online Social Media'\nTo rgst.: https://t.co/Xs4mcAlDqj https://t.co/zCqAs1AeVG""",Dr start onlin cours privaci amp secur onlin social medium To rgst
amittouring,"b'@RajivMessage\nRajiv Malhotra Book Club_Delhi NCR, April Meet up. #BattleForSanskrit #FantasticGroup https://t.co/cbXSr0YUSL'",rajiv malhotra book clubdelhi ncr april meet battleforsanskrit fantasticgroup
ponguru,b'At #IGDTUW! Meeting with students and evaluating the #socialmedia project entries at the #datahackathon Thanks @rishabhkaushal_',At igdtuw meet student evalu socialmedia project entri datahackathon thank
ponguru,b'Cool flier for #PSOSMonNPTEL course! Thanks to @VedantSwain for making this! https://t.co/x0n7jbohZo https://t.co/oexHNiZ3za',cool flier psosmonnptel cours thank make
ponguru,b'Thank you :-)  https://t.co/HSZIwX2qx7',thank
ponguru,b'I will be teaching a free online course on the topic I spoke now @TedxJuhu on NPTEL https://t.co/x0n7jbohZo #TheRippleEffect #PSOSMonNPTEL',I teach free onlin cours topic I spoke nptel therippleeffect psosmonnptel
TedxJuhu,"b'Please welcome on stage @ponguru, an expert in E crime,  Cyber Security &amp; #socialmedia #TheRippleEffect #TEDxJuhu https://t.co/WIpkozAddZ'",plea welcom stage expert E crime cyber secur amp socialmedia therippleeffect tedxjuhu
ponguru,b'Audience settling down! @TedxJuhu https://t.co/vEox8mGyYH',audienc settl
ponguru,b'Teaching #PSOSMonNPTEL https://t.co/X93hYOn5cp Indian version of @coursera Teaser at https://t.co/x0n7jbohZo Please help spread! #privacy',teach psosmonnptel indian version teaser plea help spread privaci
rachayita_giri,b'@rishabhkaushal_ @acm_igdtuw  https://t.co/zyhMW8R78P',
rachayita_giri,b'Looks like there was a lot to learn from! #spsymp16 @acm_igdtuw',look like lot learn spsymp16
ponguru,"b'Goodbye #spsymp16 Tx 2 all participants, speakers, volunteers, admin staff @IIITDelhi &amp; well wishers! See you in #spsymp17 look out 4 pics!'",goodby spsymp16 Tx particip speaker volunt admin staff amp well wisher see spsymp17 look pic
prateekdewan,"b'#spsymp16 is so famous, even bots are participating in tweeting about it! https://t.co/o5qPiX1QgG'",spsymp16 famou even bot particip tweet
ponguru,b'250+ original tweets generated by participants of #spsymp16 Each one of you Rock!!!!!',origin tweet gener particip spsymp16 each one rock
ponguru,b'Annual report of #CERCatIIITD #spsymp16  https://t.co/WKDX7oJLyi',annual report cercatiiitd spsymp16
ponguru,b'200+ participants in total on Day 1 of #spsymp16',particip total day spsymp16
ponguru,b'160+ participants at #spsymp16',particip spsymp16
ponguru,"b""Cadence'16! Creative work by our students! #IIITDStudentsRock cc: @IIITDelhi https://t.co/rwlzQPp88G""",cadence16 creativ work student iiitdstudentsrock cc
ponguru,b'With @IIITDelhi stars (Ph.D. students) at #ASR cc: @IndiaMSR @Indiaacm https://t.co/QIlX7NnvMW',with
ponguru,b'My Academic Research Summit talk @Infosys Pune campus in few mins. Organized by @Microsoft @ACMIndia cc: @IIITDelhi https://t.co/VDUcUeZJOp',My academ research summit talk
ponguru,"b'2000+ Facebook friends, 1200+ LinkedIn connections, 1000+ Twitter followers. #LovingMyVirtualFacultyLife @IIITDelhi'",facebook friend linkedin connect twitter follow lovingmyvirtualfacultylif
ponguru,b'#ProudAdvisor of @pari_lakshya https://t.co/uQU5uN43iE #LovingMyFacultyLife',proudadvisor lovingmyfacultylif
ponguru,b'Students of #IGDTUW at #AISS15 poster session #IGDTUW won best poster prize @rishabhkaushal_ @DSCI_Connect @saravade https://t.co/KrMysbanSe',student igdtuw aiss15 poster session igdtuw best poster prize
rishabhk_,b'RT @ponguru: Excited to be part of a panel on #privacy professions at #AISS15 with @TrevorHughes  @DSCI_Connect @saravade https://t.co/Tj7t\xe2\x80\xa6',excit part panel privaci profess aiss15
rishabhk_,b'RT @ponguru: Thank you for the opportunity @saravade ! #AISS15 @lokesh_mehra @dmcorpaffair @ponguru @APACinfosec  https://t.co/J9oW3gaqHy',thank opportun aiss15
rishabhk_,b'RT @ponguru: Prof. Anwitaman Datta from @NTUsg at @IIITDelhi #CERCatIIITD #security #BigData @DheerajSanghi https://t.co/9q2LSJld7I',prof anwitaman datta cercatiiitd secur bigdata
rishabhk_,"b'RT @ponguru: .@niharikasachdev paper on ""#onlinesocialmedia - New face of #policing? A Survey Exploring...\xe2\x80\x9d accepted at #HCI International \xe2\x80\xa6'",paper onlinesocialmedia new face polic A survey explor accept hci intern
rishabhk_,b'MTech student from https://t.co/MiLLHksaIA explaining her poster at #AISS15 https://t.co/MbTuICIysa',mtech student explain poster aiss15
rishabhk_,"b'RT @ponguru: Will be presenting an update on ""Security Education Resource Mapping\xe2\x80\x9d project at #AISS15 in Studio 3 @1630hrs @DSCI_Connect @s\xe2\x80\xa6'",will present updat secur educ resourc map project aiss15 studio
rishabhk_,b'RT @ponguru: This will b the FOCAL point of my session @1630hrs 2day in Studio 3. #AISS15 @DSCI_Connect @saravade @NehaAlawadhiET https://t\xe2\x80\xa6',thi b focal point session studio aiss15
rishabhk_,b'BTech students from https://t.co/MiLLHkJM7a presenting their poster at #AISS15 https://t.co/OawcjmpadC',btech student present poster aiss15
rishabhk_,b'Another MTech student from https://t.co/MiLLHksaIA presenting her poster at #AISS15 https://t.co/uUhFe1lTQl',anoth mtech student present poster aiss15
rishabhk_,b'MTech student from https://t.co/MiLLHksaIA presenting their work through poster presentation at #AISS15 https://t.co/pouYbcxI00',mtech student present work poster present aiss15
rishabhk_,b'this is a test tweet to check for tweet time ..',test tweet check tweet time
rishabhk_,b'Cyber Crime in Pune: Unsecured Digital India dangerous https://t.co/1kctNjYLbM via @sharethis',cyber crime pune unsecur digit india danger via
rishabhk_,b'RT @SCMagazine: \xe2\x80\x98Linux Moose\xe2\x80\x99 turns Linux devices into proxy servers to build social media followings | http://t.co/1p0x9HCdiy',linux moo turn linux devic proxi server build social medium follow
rishabhk_,b'RT @SCMagazine: Android ransomware distributed to English speakers in spam campaign | http://t.co/5QSgZdcArl',android ransomwar distribut english speaker spam campaign
rishabhk_,b'RT @SecurityWeek: New Global Initiative Aims at Securing Smart Cities http://t.co/n0CMxvwrIL',new global initi aim secur smart citi
rishabhk_,b'RT @SecurityWeek: Check Point Launches New ICS Security Appliance http://t.co/83rwGuv0uc',check point launch new ic secur applianc
rishabhk_,"b'RT @SCMagazine: DDoS attacks increase and methods changed in Q1 2015, report says | http://t.co/bGs7RfT8UZ'",ddo attack increas method chang Q1 report say
rishabhk_,"b'RT @classcentral: In Response to Spam, @udacity Switches Forum Infrastructure to @discourse \n\nhttp://t.co/JEO40Ov91y\n\n#MOOC'",In respons spam switch forum infrastructur mooc
rishabhk_,b'RT @SCMagazine: #RSAC2015: Thousands of Android apps found to be vulnerable | http://t.co/FePD5xhOk5',rsac2015 thousand android app found vulner
rishabhk_,b'Linux in the Air: Drone systems go open-source by @quistuipater http://t.co/iUPEWhYrsY via @networkworld',linux air drone system go opensourc via
rishabhk_,b'RT @BBCWorld: China unveils plan for 3000km corridor to Pakistan http://t.co/shHlwCzffC http://t.co/xXyC6QT94H',china unveil plan corridor pakistan
rishabhk_,b'RT @InfosecurityMag: Mobile Fraud Protections Are Erratic and Poorly Understood http://t.co/aOAEDiHfVl',mobil fraud protect are errat poorli understood
rishabhk_,b'RT @SCMagazine: Dropbox launches bug bounty program | http://t.co/5wfyGnyCJU',dropbox launch bug bounti program
rishabhk_,b'Just-released Minecraft exploit makes it easy to crash game servers http://t.co/5tP0MZpq2A',justreleas minecraft exploit make easi crash game server
rishabhk_,"b'RT @TimesNow: This is nothing short than sedition and waging war against India: Lt Gen Jaiswal (Retd), Defence expert #ReArrestMasarat'",thi noth short sedit wage war india Lt gen jaiswal retd defenc expert rearrestmasarat
rishabhk_,b'RT @SouleFacts: This is anti national. How can you accept Pakistani flags being raised in capital of J&amp;K: Gen GD Bakshi (Retd) #ReArrestMas\xe2\x80\xa6',thi anti nation how accept pakistani flag rais capit jampk gen GD bakshi retd rearrestmas…
rishabhk_,b'RT @SouleFacts: #Prestitute silent?---&gt; More than 800 Valmikis \xe2\x80\x98convert\xe2\x80\x99 to Islam in UP to save homes from demolition http://t.co/1nUMETY1sm',prestitut silent gt more valmiki convert islam UP save home demolit
rishabhk_,b'RT @SecurityWeek: Internet Connectivity Could Expose Aircraft Systems to Cyberattacks: GAO http://t.co/2TCtktjY3f',internet connect could expo aircraft system cyberattack gao
rishabhk_,b'RT @SecurityWeek: Popular #AirDroid App Vulnerable to Authentication Flaw http://t.co/eWVzRd7DTt #Mobile #Android',popular airdroid app vulner authent flaw mobil android
rishabhk_,b'RT @InfosecurityMag: This handbook provides you with a practical guide for planning and executing a DDoS response plan http://t.co/8rVbq4rS\xe2\x80\xa6',thi handbook provid practic guid plan execut ddo respons plan
rishabhk_,"b""RT @SCMagazine: 2014 deemed the year of 'far-reaching' vulnerabilities in Symantec annual report | http://t.co/iAaSSG3kNs""",deem year farreach vulner symantec annual report
rishabhk_,"b'RT @TimesNow: In 10 months, 17000 Indians have been evacuated from zones of conflict in different parts of world: PM http://t.co/0AReQnQ9xG'",In month indian evacu zone conflict differ part world PM
rishabhk_,"b""RT @TimesNow: From 'Scam India' to 'Skill India'.PM Modi woos Indian community at Ricoh Coliseum in Toronto. Watch his full speech http://t\xe2\x80\xa6""",from scam india skill indiapm modi woo indian commun ricoh coliseum toronto watch full speech
rishabhk_,"b""RT @ndtv: 'No dearth of talent in India, we are the first nation to reach Mars in the first attempt': PM http://t.co/YaQFHt0LYY http://t.co\xe2\x80\xa6""",No dearth talent india first nation reach mar first attempt PM
rishabhk_,"b""RT @makeinindia: Don't miss all the exciting developments on Day 1 @hannover_messe - the world's leading industrial fair #MakeInIndia http:\xe2\x80\xa6""",dont miss excit develop day world lead industri fair makeinindia
rishabhk_,"b'RT @PMOIndia: For me, @makeinindia is not a brand. Nor is it simply a slogan on a smart lion! It is a new national movement: PM @narendramo\xe2\x80\xa6'",for PM
rishabhk_,b'RT @MEAIndia: A peek outside the window.....and it is the @makeinindia lion  on the prowl on the streets of Hannover. http://t.co/PfUKGvy8i0',A peek outsid windowand lion prowl street hannov
rishabhk_,b'What are botnets and how do they work?: https://t.co/5M43Zw02aL',what botnet work
rishabhk_,b'@Gen_VKSingh : Great work Sir #HatsOffGeneral',great work sir hatsoffgener
rishabhk_,"b'RT @SecurityWeek: Linux Foundation to Host Open Encryption Project ""Let\'s Encrypt"" http://t.co/V20TqRPiDZ'",linux foundat host open encrypt project let encrypt
rishabhk_,"b""RT @SCMagazine: Malicious Google Chrome extension collected users' data for third parties | http://t.co/l5guug5aug""",malici googl chrome extens collect user data third parti
rishabhk_,b'RT @guardian: Twitter\xe2\x80\x99s stock price rises after Google buyout rumours \xe2\x80\x93 not for the first time http://t.co/A9vvdipdmV',twitter stock price rise googl buyout rumour first time
rishabhk_,b'@TimesNow',
rishabhk_,b'@TimesNow',
rishabhk_,"b'One media anchor thinks he decides which is the most trending topic, FYI #TimesNowDisaster is a trend for many days now #NoiseHour @TimesNow'",one medium anchor think decid trend topic fyi timesnowdisast trend mani day noisehour
rishabhk_,"b""he referred media which has not been covering India's rescue efforts with the same excitment as media covered his visit to Pak embassy (2/2)""",refer medium cover india rescu effort excit medium cover visit pak embassi
rishabhk_,"b'When Gen. V K Singh said sarcastically that ""rescue operations at are not as exciting as his Pak Embassy visit"" ... (1/2)'",when gen V K singh said sarcast rescu oper excit pak embassi visit
rishabhk_,"b'RT @googlecodejam: Love coding? Register for Google\xe2\x80\x99s algorithmic, coding competition, Code Jam before April 10th at https://t.co/lnrYkrkV7W'",love code regist googl algorithm code competit code jam april
rishabhk_,b'RT @classcentral: [New Course] Introduction to Natural Language Processing from Coursera\n\nhttp://t.co/mEwRWNVCOM\n\n#MOOC http://t.co/Heek7mh\xe2\x80\xa6',new cours introduct natur languag process coursera mooc
rishabhk_,b'RT @timesofindia: 1 in 5 primary teachers unqualified http://t.co/BeTWIOhRW2',primari teacher unqualifi
rishabhk_,"b'#KurianJoseph: Sir, many hindus work on their festivals, without making a fuss about it .... pls look beyond ""personal"" religion'",kurianjoseph sir mani hindu work festiv without make fuss pl look beyond person religion
rishabhk_,"b""RT @timesofindia: \xe2\x80\x98Some wearable fitness devices compromise people's online security\xe2\x80\x99 http://t.co/WzQs1tr3gH http://t.co/2RTV8iV0l1""",some wearabl fit devic compromis peopl onlin secur
rishabhk_,"b'RT @googlecodejam: Register today for Code Jam, google\xe2\x80\x99s algorithmic coding competition https://t.co/SanslystVC'",regist today code jam googl algorithm code competit
rishabhk_,b'China investing heavily in developing advanced cyber capabilities\nhttp://t.co/ScjAbl4cXm',china invest heavili develop advanc cyber capabl
rishabhk_,"b""RT @ndtv: 45th transfer for IAS officer Ashok Khemka, 'routine' says BJP government - 10 developments http://t.co/7kR3lYf4BV http://t.co/8Q\xe2\x80\xa6""",transfer ia offic ashok khemka routin say bjp govern develop
rishabhk_,"b'RT @EconomicTimes: Procurement cartels robbing railways of Rs 10,000 crore a year, says Sreedharan http://t.co/QDD3SDCzLi http://t.co/7RAwJ\xe2\x80\xa6'",procur cartel rob railway Rs crore year say sreedharan
rishabhk_,b'RT @IndianExpress: How Delhi\xe2\x80\x99s poisonous air is damaging its children for life | #deathbybreath | http://t.co/oTTfuZp1zv | http://t.co/DB9V\xe2\x80\xa6',how delhi poison air damag child life deathbybreath
rishabhk_,"b'RT @SCMagazine: GitHub on DDoS alert, efforts to curb its largest attack continue | http://t.co/pHcyJcZ2x1'",github ddo alert effort curb largest attack continu
rishabhk_,b'RT @InfosecurityMag: Obama Gets Tough On Cyber-Attacks With New Sanctions: Government has power to seize assets and ban travel http://t.co/\xe2\x80\xa6',obama get tough On cyberattack with new sanction govern power seiz asset ban travel
rishabhk_,b'RT @classcentral: Program the Supercomputer in your Pocket: Learn Full Stack Android App Development\n\nhttp://t.co/735bm3KrTv\n\n#MOOC http://\xe2\x80\xa6',program supercomput pocket learn full stack android app develop mooc
rishabhk_,"b'RT @narendramodi: At the Rourkela Steel Plant, where I dedicated to the Nation the 4.5MT expansion of the Plant. http://t.co/HXJ1nxC8UU htt\xe2\x80\xa6'",At rourkela steel plant I dedic nation expans plant htt…
rishabhk_,"b'""@SCMagazine: OPINION: The best defense is a good offense: The importance of securing your endpoints | http://t.co/o2rc8TrxyR""'",opinion the best defens good offens the import secur endpoint
rishabhk_,b'RT @InfosecurityMag: Google on the Hook for UK Lawsuits over Secret Tracking: Google will be subject to suits over gathering person... http\xe2\x80\xa6',googl hook UK lawsuit secret track googl subject suit gather person
rishabhk_,"b'RT @SCMagazine: GitHub on DDoS alert, efforts to curb its largest attack continue | http://t.co/8N23J6GAht'",github ddo alert effort curb largest attack continu
rishabhk_,"b""RT @symantec: It\xe2\x80\x99s not a question of \xe2\x80\x9cif\xe2\x80\x9d, but \xe2\x80\x9cwhen\xe2\x80\x9d you'll be hacked. Layered security is vital. https://t.co/sAxBiFUytp""",It question youll hack layer secur vital
rishabhk_,b'Singapore Varsity Says Islamic State-Hacked Website Restored http://t.co/HY1lzMnbh5 via @ndtv',singapor varsiti say islam statehack websit restor via
rishabhk_,b'South Korea Blames North Korea for December Hacking on Nuclear Operator http://t.co/uyzcfXDg3P via @ndtv',south korea blame north korea decemb hack nuclear oper via
rishabhk_,b'Document Reveals Growth of Cyberwarfare Between the U.S. and Iran http://t.co/Nu9y0OWJZL via @ndtv',document reveal growth cyberwarfar between US iran via
rishabhk_,b'#espectro15 (annual tech event) finishes today ... very successful event which drew large participation',espectro15 annual tech event finish today success event drew larg particip
rishabhk_,"b""Facebook 'Colour Change' Virus is Back \nhttp://t.co/dhkiexgVp1""",facebook colour chang viru back
rishabhk_,b'RT @firstpost: PM Modi congratulates scientists for successful launch of IRNSS-1D http://t.co/ZUSZeC6Skb http://t.co/3Xw5tlyhHZ',PM modi congratul scientist success launch irnss1d
rishabhk_,"b""RT @newsflicks: #SainaNehwal you are already a 'bharat ratna', Padma Bhushans can wait #WorldNo1 http://t.co/zYmnBTSbq7""",sainanehw alreadi bharat ratna padma bhushan wait worldno1
rishabhk_,b'RT @CAinc: Think strong authentication isn\xe2\x80\x99t a must for all users? Think again: http://t.co/FJACBdQc9Q http://t.co/oNuy4sR9cw',think strong authent must user think
rishabhk_,b'RT @SecurityWeek: North Korea Denies Hacking Nuclear Plants in South http://t.co/PvISXtxlNu',north korea deni hack nuclear plant south
rishabhk_,b'RT @InfosecurityMag: Software Flaws Jump 20% in 2014 as Zero Days Soar \xe2\x80\x93 Report http://t.co/155i67lOlP',softwar flaw jump zero day soar report
rishabhk_,b'15 overs ~80/1 .. take some wickets quickly #IndvsAus',over take wicket quickli indvsau
rishabhk_,"b'RT @InfosecurityMag: Twitch Faces Likely Hack\xe2\x80\x94Millions of Gamer Accounts Affected?: Passwords, email addresses, user names, home ad... http\xe2\x80\xa6'",twitch face like hack—million gamer account affect password email address user name home ad
rishabhk_,b'RT @SCMagazine: Android vulnerability leaves apps open to malicious overwriting | http://t.co/owFKLcvFQ3',android vulner leav app open malici overwrit
rishabhk_,"b""RT @SCMagazine: One in three of the top million websites are 'risky,' researchers find | http://t.co/5UfGQVUTDY""",one three top million websit riski research find
rishabhk_,b'Espectro 15 android app #espectro15\nhttps://t.co/ixEXTh9Iwp',espectro android app espectro15
rishabhk_,"b""Espectro '15 | Windows Phone App for #espectro15 http://t.co/opzRDAVpSJ""",espectro window phone app espectro15
rishabhk_,"b'#espectro15 ... Capture every effort (during preparations, during event run, participation, results, everything) here ... Start tweeting now'",espectro15 captur everi effort prepar event run particip result everyth start tweet
rishabhk_,"b'#espectro15 ... venue: IGDTUW, Kashmere Gate, Delhi ...... join us for the technical extravaganza of celebrations with technology :)'",espectro15 venu igdtuw kashmer gate delhi join u technic extravaganza celebr technolog
rishabhk_,"b'#espectro15 ... over 25+ events, 100+ organizing students .. 1000+ participants expected ..'",espectro15 event organ student particip expect
rishabhk_,b'Preparations on full swing for the Annual Tech Fest #espectro15 ... 27th - 28th March 2015',prepar full swing annual tech fest espectro15 march
rishabhk_,"b'After scrapping of Sec 66A, a greater need for technological solutions to counter ""real"" problems in social networks #Sec66A #OnlineAzadi'",after scrap sec greater need technolog solut counter real problem social network sec66a onlineazadi
rishabhk_,b'Sec 66A gone ... thanks to its misuse by politicians .. :) #Sec66A #OnlineAzadi',sec gone thank misus politician sec66a onlineazadi
rishabhk_,"b'RT @TimesNow: PM Narendra Modi to pay homage to Bhagat Singh, Sukhdev &amp; Rajguru at Hussainiwala &amp; visit the Golden Temple &amp; Jallianwala Bag\xe2\x80\xa6'",PM narendra modi pay homag bhagat singh sukhdev amp rajguru hussainiwala amp visit golden templ amp jallianwala bag…
rishabhk_,"b""RT @narendramodi: Today I shared my 'Mann Ki Baat' with farmers on radio . Spoke to them on various issues. Here is the audio. https://t.co\xe2\x80\xa6""",today I share mann Ki baat farmer radio spoke variou issu here audio
rishabhk_,b'RT @classcentral: [New Course] Finding Hidden Messages in DNA (Bioinformatics I) from Coursera. Starts 13th Apr\n\nhttp://t.co/FPHPBds5zh htt\xe2\x80\xa6',new cours find hidden messag dna bioinformat I coursera start apr htt…
rishabhk_,"b'RT @strataconf: Tensor methods for #machinelearning are fast &amp; scalable, but we need libraries @bigdata @radar http://t.co/1qackSXDlN http:\xe2\x80\xa6'",tensor method machinelearn fast amp scalabl need librari
rishabhk_,"b'RT @amishra77: Already 33 topics, covering both School and Higher &amp; Technical Education, being eagerly debated on MyGocv: https://t.co/WaaU\xe2\x80\xa6'",alreadi topic cover school higher amp technic educ eagerli debat mygocv
rishabhk_,b'RT @edXOnline: Are We Missing Opportunities to Engage Teachers with MOOCs? http://t.co/KeSiggceQ0 via @educause #edtech http://t.co/Lg8Qrt7\xe2\x80\xa6',are We miss opportun engag teacher mooc via edtech
rishabhk_,"b'RT @IEEEIoT: Didn\'t make it to #SXSW2015? You can catch a recap of @IEEESA\'s ""Future of Identity Series"" at: http://t.co/gcfGaYX1nA #ieeesx\xe2\x80\xa6'",didnt make sxsw2015 you catch recap ieeesx…
rishabhk_,b'RT @TheOfficialACM: Start the one week countdown until the 2014 #AMTuring Award laureate is announced!',start one week countdown amtur award laureat announc
rishabhk_,b'Shocking to hear loss of a honest upright and courageous officer #DKRavi #FailingTheHonest Will the culprits be booked ?',shock hear loss honest upright courag offic dkravi failingthehonest will culprit book
rishabhk_,"b'Attended a workshop at IGDTUW on MIDlet programming on Nokia Asha SDK platform ... mobile application development, a lot of opportunities !'",attend workshop igdtuw midlet program nokia asha sdk platform mobil applic develop lot opportun
rishabhk_,b'RT @IEEEorg: The first Internet-connected road will debut in the UK with a 50 mile network of sensors: http://t.co/ZRpDFq9bN7 via @Engadget',the first internetconnect road debut UK mile network sensor via
rishabhk_,b'RT @TheOfficialACM: TechNews: UW engineers invent programming language to build synthetic DNA http://t.co/pL8tbG0B8c via @UW',technew UW engin invent program languag build synthet dna via
